чычканча CICKanCa
чыгышын CIGISIn
чыгыштан CIGIStan
чыгып CIGIp
чыга CIGa
чыкпады CIKpadI
чыкпайт CIKpajt
чыкпасын CIKpasIn
чыкты CIKtI
чыдабай CIdabaj
чыккан CIkKan
чымыраган CImIraGan
чытылып CItIlIp
чытырман CItIrman
чөгөлөй COgOlOj
чөгөлөп COgOlOp
чачкын CaCKIn
чакырды CaKIrdI
чакыртып CaKIrtIp
чаңырды CaNIrdI
чаап Caap
чабышынан CabISInan
чабышуу CabISuu
чабылган CabIlGan
чай Caj
чайырлуу CajIrluu
чайкайт CajKajt
чамынып CamInIp
чаптырды CaptIrdI
чепкендин Cepkendin
четине Cetine
чимириктей Cimiriktej
чирип Cirip
чокчо CoKCo
чоң CoN
чуңкурлар CuNKurlar
чуркап CurKap
чууруп Cuurup
гана Gana
го Go
ыңгайланганда INGajlanGanda
ышка ISKa
ылай Ilaj
ылдый IldIj
ылдыйланган IldIjlanGan
ыргыштаткан IrGIStatKan
ырымын IrImIn
ысыгына IsIGIna
ысыксуугуна IsIKsuuGuna
кыңкыстап KINKIstap
кыжыры KIZIrI
кыжырын KIZIrIn
кыжырланып KIZIrlanIp
кыйкырыктары KIjKIrIKtarI
кыялды KIjaldI
кыймыл KIjmIl
кыймылсыз KIjmIlsIz
кылганы KIlGanI
кылгансыбай KIlGansIbaj
кылып KIlIp
кыла KIla
кылтыйтып KIltIjtIp
кырынан KIrInan
кырка KIrKa
кыз KIz
кызыл KIzIl
качууга KaCuuGa
какырчикир KaKIrCikir
какшып KaKSIp
кашын KaSIn
кашаттын KaSattIn
кашаттагы KaSattaGI
каалабады KaalabadI
каары KaarI
каардуу Kaarduu
кабагы KabaGI
кабар Kabar
кадыресе KadIrese
кадырлуу KadIrluu
каимов Kaimov
кай Kaj
кайгылуу KajGIluu
кайда Kajda
кайнап Kajnap
кайнатмак KajnatmaK
кайрыды KajrIdI
кайра Kajra
кайрадан Kajradan
кайтарып KajtarIp
кайтарат Kajtarat
калган KalGan
калганбы KalGanbI
калгандыр KalGandIr
калгансып KalGansIp
калышты KalIStI
калып KalIp
калар Kalar
калбады KalbadI
калды KaldI
калдыратып KaldIratIp
калса Kalsa
калтырган KaltIrGan
калтыра KaltIra
камчы KamCI
камчысы KamCIsI
камчысын KamCIsIn
камчысынын KamCIsInIn
камбар Kambar
канчасын KanCasIn
канып KanIp
кана Kana
кандай Kandaj
кантип Kantip
капкачан KapKaCan
капшытта KapSItta
капарына KaparIna
каптагандай KaptaGandaj
каргылданып KarGIldanIp
кара Kara
караганда KaraGanda
карашы KaraSI
карады KaradI
карап Karap
кармашта KarmaSta
кармалады KarmaladI
катташып KattaSIp
каттай Kattaj
катуу Katuu
казык KazIK
казандай Kazandaj
кочкул KoCKul
кокусунан KoKusunan
кожоюнга KoZojunGa
коет Koet
койду Kojdu
койлуу Kojluu
койсо Kojso
коюп Kojup
коюпшады KojupSadI
колдуу Kolduu
колун Kolun
коркуп KorKup
кубанычтын KubanICtIn
кубат Kubat
кудай Kudaj
кудайга KudajGa
кудайдын KudajdIn
куюлган KujulGan
кулагың KulaGIN
кулак KulaK
кулуң KuluN
кулуңмун KuluNmun
кумга KumGa
купуя Kupuja
курчалган KurCalGan
кутулуп Kutulup
кутурган KuturGan
куу Kuu
кууш KuuS
өчү OCy
өөн OOn
өйүзбүйүздөгүлөр OjyzbyjyzdOgylOr
өкүмдүү Okymdyy
өмүрлөрүнө OmyrlOrynO
өмүрүмдө OmyrymdO
өмүрүн Omyryn
өмүрүндө OmyryndO
өрөөндүн OrOOndyn
өргөөлөр OrgOOlOr
өскөн OskOn
өткөн OtkOn
өткөнчө OtkOnCO
өткөрбөдү OtkOrbOdy
өттү Otty
өтүп Otyp
өз Oz
өзөндү OzOndy
өзү Ozy
өзүнө OzynO
шылдырап SIldIrap
шылк SIlk
шөмтүрөгөн SOmtyrOgOn
шашылып SaSIlIp
шашпагыла SaSpaGIla
шашты SaStI
шаани Saani
шаркырап SarKIrap
шардана Sardana
шектенет Sektenet
шектүү Sektyy
шерик Serik
шериктерине Serikterine
шиленип Silenip
шүгүр Sygyr
жыга ZIGa
жылчыгы ZIlCIGI
жылкы ZIlKI
жылкычы ZIlKICI
жылкычысы ZIlKICIsI
жылкыларынын ZIlKIlarInIn
жылкылуу ZIlKIluu
жылкыны ZIlKInI
жылкынын ZIlKInIn
жылаңач ZIlaNaC
жылаңаяк ZIlaNajak
жылаңаяктыгына ZIlaNajaktIGIna
жылаңбаш ZIlaNbaS
жылаажындуу ZIlaaZInduu
жылдыз ZIldIz
жылмайышып ZIlmajISIp
жымсалдатып ZImsaldatIp
жөөлүй ZOOlyj
жөөлүйт ZOOlyjt
жөнөшөт ZOnOSOt
жөнөдү ZOnOdy
жөнөгөндө ZOnOgOndO
жөнү ZOny
жөнүндө ZOnyndO
жагына ZaGIna
жакын ZaKIn
жакшы ZaKSI
жакшыбы ZaKSIbI
жактырбагансып ZaKtIrbaGansIp
жакта ZaKta
жактагылар ZaKtaGIlar
жактары ZaKtarI
жаңы ZaNI
жаңырып ZaNIrIp
жаш ZaS
жашы ZaSI
жашылданган ZaSIldanGan
жашарган ZaSarGan
жаандан Zaandan
жабалактай ZabalaKtaj
жабуусунан Zabuusunan
жада Zada
жай Zaj
жайык ZajIK
жайын ZajIn
жайып ZajIp
жайжайына ZajZajIna
жайлар Zajlar
жаюу Zajuu
жакка ZakKa
жал Zal
жалчы ZalCI
жалгыз ZalGIz
жалгызын ZalGIzIn
жалына ZalIna
жалбарышты ZalbarIStI
жалды ZaldI
жалдын ZaldIn
жалдырады ZaldIradI
жамгыр ZamGIr
жамгырдын ZamGIrdIn
жаны ZanI
жаныбар ZanIbar
жанын ZanIn
жанына ZanIna
жанындагыларга ZanIndaGIlarGa
жана Zana
жанагыдан ZanaGIdan
жар Zar
жарып ZarIp
жарактуу ZaraKtuu
жаралуу Zaraluu
жаратылыштын ZaratIlIStIn
жасакерленип Zasakerlenip
жасамыш ZasamIS
жасап Zasap
жаткан ZatKan
жатканын ZatKanIn
жатабы ZatabI
жатат Zatat
жаз Zaz
жазып ZazIp
жаздымында ZazdImInda
же Ze
жеңин ZeNin
желге Zelge
жепирекей Zepirekej
жер Zer
жерди Zerdi
жерге Zerge
жерине Zerine
жеринин Zerinin
жетине Zetine
жетти Zetti
жибек Zibek
жибердиби Ziberdibi
жиберген Zibergen
жигит Zigit
жигиттин Zigittin
жоголгон ZoGolGon
жоголгонго ZoGolGonGo
жоголгонун ZoGolGonun
жоголду ZoGoldu
жоголот ZoGolot
жоголуп ZoGolup
жоголууга ZoGoluuGa
жок ZoK
жобурагандардан ZoburaGandardan
жолку ZolKu
жомокко ZomokKo
жоо Zoo
жоолугу ZooluGu
жоону Zoonu
жооп Zoop
жорго ZorGo
жоргону ZorGonu
жоругун ZoruGun
жоругуна ZoruGuna
жубарымбек ZubarImbek
жулкулаганы ZulKulaGanI
жумадан Zumadan
жумулду Zumuldu
жуук ZuuK
